slug,state,type,total_cameras,data_retention_days,organization_count,receiving_organization_count,public_search_audit,data_last_updated,source
brisbane-ca-pd,CA,PD,16,30,89,,False,2026-08-26T09:07:52.944Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
broadway-va-pd,VA,PD,8,21,,,False,2026-08-26T14:18:22.303Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
brooklyn-center-mn-pd,MN,PD,9,30,45,,False,2026-08-26T12:31:25.516Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
brooklyn-park-mn-pd,MN,PD,0,30,57,,False,2026-08-26T11:58:40.429Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
brookville-oh-pd,OH,PD,18,30,1224,,True,2026-08-26T22:05:09.573Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
broomfield-co-pd,CO,PD,5,30,83,348,False,2026-08-26T09:08:48.074Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
bryan-tx-pd,TX,PD,22,30,528,,False,2026-08-26T14:56:09.181Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
buckeye-az-pd,AZ,PD,72,30,,,False,2026-08-26T18:35:22.659Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
buda-tx-pd,TX,PD,6,30,,,False,2026-08-26T09:53:24.102Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
buena-park-ca-pd,CA,PD,18,30,323,,True,2026-08-26T11:56:06.845Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
burbank-ca-pd,CA,PD,57,30,359,,True,2026-08-26T22:04:01.670Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
burlington-ia-pd,IA,PD,12,30,,,False,2026-08-26T14:46:49.795Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
butler-county-ks-so,KS,SD,15,30,134,,True,2026-08-26T11:24:21.718Z,"eyesonflock.com API 2026-08-28, CC BY-SA 4.0"
